"SAMPLEID","StationCode","SiteDate","PerSampID","RepNum","taxacount","BC_1.pt","BC_2.pt","BC_3.pt","BC_4.pt","BC_5.pt","TROPHIC_1.pt","TROPHIC_2.pt","TROPHIC_3.pt","TROPHIC_4.pt","TROPHIC_5.pt","TROPHIC_6.pt","TROPHIC_7.pt","SAP_1.pt","SAP_2.pt","SAP_3.pt","SAP_4.pt","SAP_5.pt","PT_1.pt","PT_2.pt","PT_3.pt","PT_4.pt","PT_5.pt","O_1.pt","O_2.pt","O_3.pt","O_4.pt","O_5.pt","SALINITY_1.pt","SALINITY_2.pt","SALINITY_3.pt","SALINITY_4.pt","Bahls_1.pt","Bahls_2.pt","Bahls_3.pt","LOW_P.pt","HIGH_P.pt","LOW_N.pt","HIGH_N.pt","BENTHIC_HABIT.pt","SESTONIC_HABIT.pt","N_FIXER.pt","NON_N_FIXER.pt","NON_MOTILE.pt","WEAKLY_MOTILE.pt","SLIGHTLY_MOTILE.pt","MODERATELY_MOTILE.pt","HIGHLY_MOTILE.pt","VERY_SMALL.pt","SMALL.pt","MEDIUM.pt","BIG.pt","VERY_BIG.pt","ACHNANTHIDIUM.pt","ACHNANTHIDIAE.pt","BACILLARIACEAE.pt","NAVICULA.pt","STALKED.pt","ADNATE.pt","HIGHLY_MOTILE.1.pt","ARAPHID.pt","CENTRIC.pt"
"1000_0","SR0090","SR0090_2016_8_24",1000,0,38,0.0526315789473684,0.210526315789474,0.184210526315789,0.368421052631579,0.105263157894737,0.0526315789473684,0.0526315789473684,0.0263157894736842,0.131578947368421,0.263157894736842,0.0263157894736842,0.210526315789474,0.0789473684210526,0.394736842105263,0.131578947368421,0.105263157894737,0,0.0789473684210526,0.0263157894736842,0.0263157894736842,0.131578947368421,0.0263157894736842,0.210526315789474,0.210526315789474,0.157894736842105,0.0526315789473684,0,0.0789473684210526,0.684210526315789,0.0263157894736842,0,0.105263157894737,0.131578947368421,0.236842105263158,0.131578947368421,0.236842105263158,0.157894736842105,0.394736842105263,1,0,0.0263157894736842,0.973684210526316,0.184210526315789,0.0263157894736842,0.263157894736842,0.342105263157895,0.184210526315789,0.289473684210526,0.368421052631579,0.105263157894737,0.0526315789473684,0,0.0526315789473684,0.131578947368421,0.184210526315789,0.0789473684210526,0.184210526315789,0.157894736842105,0.394736842105263,0.184210526315789,0
"1001_0","SR0096","SR0096_2016_8_25",1001,0,44,0.0454545454545455,0.136363636363636,0.25,0.454545454545455,0.0909090909090909,0.0227272727272727,0.0227272727272727,0.0454545454545455,0.136363636363636,0.272727272727273,0.0454545454545455,0.113636363636364,0.113636363636364,0.340909090909091,0.181818181818182,0.0454545454545455,0.0227272727272727,0.0681818181818182,0.0227272727272727,0.0227272727272727,0.181818181818182,0.0227272727272727,0.204545454545455,0.204545454545455,0.159090909090909,0.0227272727272727,0,0.0454545454545455,0.590909090909091,0.0454545454545455,0.0227272727272727,0.0909090909090909,0.136363636363636,0.272727272727273,0.0681818181818182,0.227272727272727,0.0681818181818182,0.363636363636364,0.977272727272727,0.0227272727272727,0,0.977272727272727,0.0909090909090909,0.0227272727272727,0.272727272727273,0.409090909090909,0.204545454545455,0.25,0.454545454545455,0.113636363636364,0.0227272727272727,0,0.0454545454545455,0.0909090909090909,0.25,0.181818181818182,0.0909090909090909,0.136363636363636,0.545454545454545,0.0681818181818182,0.0227272727272727
"1002_0","SR0093","SR0093_2016_8_29",1002,0,43,0.0232558139534884,0.0465116279069767,0.302325581395349,0.418604651162791,0.116279069767442,0,0.0232558139534884,0.0697674418604651,0.116279069767442,0.372093023255814,0.0232558139534884,0.116279069767442,0.0465116279069767,0.395348837209302,0.186046511627907,0.0697674418604651,0.0232558139534884,0.0232558139534884,0.0232558139534884,0,0.186046511627907,0.116279069767442,0.186046511627907,0.186046511627907,0.162790697674419,0.0465116279069767,0.0232558139534884,0.0232558139534884,0.604651162790698,0.116279069767442,0,0.0232558139534884,0.162790697674419,0.255813953488372,0.0930232558139535,0.162790697674419,0.0930232558139535,0.372093023255814,0.976744186046512,0.0232558139534884,0,1,0.13953488372093,0.0465116279069767,0.209302325581395,0.418604651162791,0.186046511627907,0.232558139534884,0.441860465116279,0.162790697674419,0.0697674418604651,0,0.0232558139534884,0.0930232558139535,0.162790697674419,0.255813953488372,0.13953488372093,0.13953488372093,0.511627906976744,0.116279069767442,0.0232558139534884
"1003_0","WB0462","WB0462_2016_8_30",1003,0,73,0.0821917808219178,0.178082191780822,0.205479452054795,0.273972602739726,0.136986301369863,0.0273972602739726,0.0547945205479452,0.0547945205479452,0.10958904109589,0.328767123287671,0.0273972602739726,0.0821917808219178,0.0958904109589041,0.342465753424658,0.164383561643836,0.0684931506849315,0.0136986301369863,0.0547945205479452,0.0821917808219178,0.0136986301369863,0.123287671232877,0.0273972602739726,0.10958904109589,0.26027397260274,0.164383561643836,0.0273972602739726,0.0136986301369863,0.0958904109589041,0.547945205479452,0.0821917808219178,0.0273972602739726,0.0821917808219178,0.191780821917808,0.205479452054795,0.10958904109589,0.191780821917808,0.150684931506849,0.301369863013699,0.904109589041096,0.0684931506849315,0.0547945205479452,0.917808219178082,0.205479452054795,0.0410958904109589,0.178082191780822,0.287671232876712,0.287671232876712,0.150684931506849,0.424657534246575,0.10958904109589,0.0958904109589041,0,0.0273972602739726,0.10958904109589,0.273972602739726,0.10958904109589,0.0821917808219178,0.136986301369863,0.479452054794521,0.164383561643836,0.0410958904109589
"1003_1","WB0462","WB0462_2016_8_30_Rep",1003,1,79,0.0632911392405063,0.20253164556962,0.227848101265823,0.278481012658228,0.139240506329114,0.0379746835443038,0.0253164556962025,0.0632911392405063,0.0886075949367089,0.329113924050633,0.0379746835443038,0.0886075949367089,0.10126582278481,0.341772151898734,0.139240506329114,0.0759493670886076,0.0253164556962025,0.0379746835443038,0.0632911392405063,0.0253164556962025,0.113924050632911,0.0379746835443038,0.177215189873418,0.227848101265823,0.126582278481013,0.0506329113924051,0.0126582278481013,0.0632911392405063,0.594936708860759,0.0632911392405063,0.0253164556962025,0.0506329113924051,0.227848101265823,0.227848101265823,0.0759493670886076,0.215189873417722,0.151898734177215,0.291139240506329,0.936708860759494,0.0379746835443038,0.0506329113924051,0.924050632911392,0.164556962025316,0.0253164556962025,0.126582278481013,0.379746835443038,0.30379746835443,0.151898734177215,0.329113924050633,0.164556962025316,0.10126582278481,0,0.0126582278481013,0.0506329113924051,0.278481012658228,0.126582278481013,0.113924050632911,0.0759493670886076,0.531645569620253,0.139240506329114,0.0253164556962025
"1004_0","SR0087","SR0087_2016_8_31",1004,0,45,0.0222222222222222,0.155555555555556,0.155555555555556,0.444444444444444,0.2,0.0444444444444444,0.0222222222222222,0.0222222222222222,0.0666666666666667,0.355555555555556,0.0444444444444444,0.111111111111111,0.0666666666666667,0.355555555555556,0.177777777777778,0.0444444444444444,0.0222222222222222,0.0444444444444444,0.0666666666666667,0.0444444444444444,0.155555555555556,0.133333333333333,0.133333333333333,0.244444444444444,0.155555555555556,0.0222222222222222,0,0.0444444444444444,0.533333333333333,0.0888888888888889,0.0222222222222222,0.0444444444444444,0.133333333333333,0.222222222222222,0.0666666666666667,0.244444444444444,0.0888888888888889,0.4,0.955555555555556,0.0222222222222222,0.0222222222222222,0.977777777777778,0.0666666666666667,0.0444444444444444,0.244444444444444,0.288888888888889,0.355555555555556,0.222222222222222,0.4,0.155555555555556,0.0666666666666667,0,0.0444444444444444,0.0888888888888889,0.311111111111111,0.177777777777778,0.0666666666666667,0.155555555555556,0.644444444444444,0.0444444444444444,0.0222222222222222
"1005_0","SR0095","SR0095_2016_9_1",1005,0,53,0.0188679245283019,0.169811320754717,0.169811320754717,0.433962264150943,0.188679245283019,0.0566037735849057,0.0377358490566038,0.0566037735849057,0.0943396226415094,0.320754716981132,0.0566037735849057,0.150943396226415,0.0754716981132075,0.39622641509434,0.207547169811321,0.0566037735849057,0.0377358490566038,0.0566037735849057,0.0566037735849057,0.0188679245283019,0.113207547169811,0.113207547169811,0.226415094339623,0.207547169811321,0.169811320754717,0.0377358490566038,0,0.0377358490566038,0.69811320754717,0.0377358490566038,0.0188679245283019,0.0943396226415094,0.150943396226415,0.264150943396226,0.0943396226415094,0.245283018867925,0.0943396226415094,0.39622641509434,1,0,0,1,0.0566037735849057,0.0377358490566038,0.226415094339623,0.358490566037736,0.320754716981132,0.226415094339623,0.358490566037736,0.169811320754717,0.0566037735849057,0,0.0188679245283019,0.0754716981132075,0.30188679245283,0.169811320754717,0.132075471698113,0.0943396226415094,0.584905660377358,0.0566037735849057,0
"1006_0","SR0091","SR0091_2016_9_12",1006,0,47,0.0638297872340425,0.25531914893617,0.297872340425532,0.276595744680851,0.0851063829787234,0.0638297872340425,0.0425531914893617,0.0638297872340425,0.106382978723404,0.25531914893617,0,0.127659574468085,0.0851063829787234,0.382978723404255,0.148936170212766,0.0425531914893617,0,0,0.0851063829787234,0,0.127659574468085,0.127659574468085,0.25531914893617,0.148936170212766,0.170212765957447,0,0,0.0638297872340425,0.574468085106383,0.0425531914893617,0,0.0212765957446809,0.148936170212766,0.297872340425532,0.127659574468085,0.127659574468085,0.191489361702128,0.276595744680851,0.936170212765957,0.0425531914893617,0.0212765957446809,0.978723404255319,0.170212765957447,0.0638297872340425,0.191489361702128,0.404255319148936,0.170212765957447,0.276595744680851,0.361702127659574,0.0851063829787234,0.127659574468085,0,0.0212765957446809,0.0851063829787234,0.170212765957447,0.170212765957447,0.148936170212766,0.106382978723404,0.446808510638298,0.148936170212766,0.0212765957446809
"1007_0","SR0092","SR0092_2016_9_13",1007,0,52,0.134615384615385,0.192307692307692,0.269230769230769,0.211538461538462,0.0769230769230769,0.0769230769230769,0.0961538461538462,0.0961538461538462,0.0384615384615385,0.153846153846154,0.0384615384615385,0.134615384615385,0.211538461538462,0.230769230769231,0.115384615384615,0.0769230769230769,0.0192307692307692,0.0384615384615385,0.0384615384615385,0,0.0769230769230769,0.0576923076923077,0.269230769230769,0.153846153846154,0.115384615384615,0.0192307692307692,0,0.153846153846154,0.538461538461538,0,0,0.0576923076923077,0.115384615384615,0.25,0.173076923076923,0.134615384615385,0.192307692307692,0.192307692307692,0.942307692307692,0.0384615384615385,0,1,0.192307692307692,0.0769230769230769,0.269230769230769,0.288461538461538,0.173076923076923,0.346153846153846,0.423076923076923,0.0961538461538462,0,0,0.0384615384615385,0.192307692307692,0.173076923076923,0.0769230769230769,0.0576923076923077,0.192307692307692,0.326923076923077,0.173076923076923,0.0192307692307692
"1007_1","SR0092","SR0092_2016_9_13_Rep",1007,1,44,0.227272727272727,0.181818181818182,0.272727272727273,0.204545454545455,0.0681818181818182,0.113636363636364,0.0909090909090909,0.0681818181818182,0.0909090909090909,0.113636363636364,0.0454545454545455,0.136363636363636,0.227272727272727,0.227272727272727,0.0909090909090909,0.0681818181818182,0.0227272727272727,0.0454545454545455,0.0681818181818182,0.0227272727272727,0.0681818181818182,0.0909090909090909,0.340909090909091,0.0909090909090909,0.113636363636364,0,0,0.204545454545455,0.477272727272727,0,0,0.0454545454545455,0.181818181818182,0.227272727272727,0.159090909090909,0.0909090909090909,0.204545454545455,0.181818181818182,0.931818181818182,0.0454545454545455,0,1,0.25,0.0909090909090909,0.25,0.295454545454545,0.113636363636364,0.340909090909091,0.431818181818182,0.0681818181818182,0.0454545454545455,0,0.0454545454545455,0.159090909090909,0.113636363636364,0.0681818181818182,0.0681818181818182,0.136363636363636,0.363636363636364,0.204545454545455,0.0454545454545455
