"SAMPLEID","StationCode","SiteDate","PerSampID","RepNum","COUNT","BC_1.r","BC_2.r","BC_3.r","BC_4.r","BC_5.r","TROPHIC_1.r","TROPHIC_2.r","TROPHIC_3.r","TROPHIC_4.r","TROPHIC_5.r","TROPHIC_6.r","TROPHIC_7.r","SAP_1.r","SAP_2.r","SAP_3.r","SAP_4.r","SAP_5.r","PT_1.r","PT_2.r","PT_3.r","PT_4.r","PT_5.r","O_1.r","O_2.r","O_3.r","O_4.r","O_5.r","SALINITY_1.r","SALINITY_2.r","SALINITY_3.r","SALINITY_4.r","Bahls_1.r","Bahls_2.r","Bahls_3.r","LOW_P.r","HIGH_P.r","LOW_N.r","HIGH_N.r","BENTHIC_HABIT.r","SESTONIC_HABIT.r","N_FIXER.r","NON_N_FIXER.r","NON_MOTILE.r","WEAKLY_MOTILE.r","SLIGHTLY_MOTILE.r","MODERATELY_MOTILE.r","HIGHLY_MOTILE.r","VERY_SMALL.r","SMALL.r","MEDIUM.r","BIG.r","VERY_BIG.r","ACHNANTHIDIUM.r","ACHNANTHIDIAE.r","BACILLARIACEAE.r","NAVICULA.r","STALKED.r","ADNATE.r","HIGHLY_MOTILE.1.r","ARAPHID.r","CENTRIC.r"
"1000_0","SR0090","SR0090_2016_8_24",1000,0,1,2,8,7,14,4,2,2,1,5,10,1,8,3,15,5,4,0,3,1,1,5,1,8,8,6,2,0,3,26,1,0,4,5,9,5,9,6,15,38,0,1,37,7,1,10,13,7,11,14,4,2,0,2,5,7,3,7,6,15,7,0
"1001_0","SR0096","SR0096_2016_8_25",1001,0,1,2,6,11,20,4,1,1,2,6,12,2,5,5,15,8,2,1,3,1,1,8,1,9,9,7,1,0,2,26,2,1,4,6,12,3,10,3,16,43,1,0,43,4,1,12,18,9,11,20,5,1,0,2,4,11,8,4,6,24,3,1
"1002_0","SR0093","SR0093_2016_8_29",1002,0,1,1,2,13,18,5,0,1,3,5,16,1,5,2,17,8,3,1,1,1,0,8,5,8,8,7,2,1,1,26,5,0,1,7,11,4,7,4,16,42,1,0,43,6,2,9,18,8,10,19,7,3,0,1,4,7,11,6,6,22,5,1
"1003_0","WB0462","WB0462_2016_8_30",1003,0,1,6,13,15,20,10,2,4,4,8,24,2,6,7,25,12,5,1,4,6,1,9,2,8,19,12,2,1,7,40,6,2,6,14,15,8,14,11,22,66,5,4,67,15,3,13,21,21,11,31,8,7,0,2,8,20,8,6,10,35,12,3
"1003_1","WB0462","WB0462_2016_8_30_Rep",1003,1,1,5,16,18,22,11,3,2,5,7,26,3,7,8,27,11,6,2,3,5,2,9,3,14,18,10,4,1,5,47,5,2,4,18,18,6,17,12,23,74,3,4,73,13,2,10,30,24,12,26,13,8,0,1,4,22,10,9,6,42,11,2
"1004_0","SR0087","SR0087_2016_8_31",1004,0,1,1,7,7,20,9,2,1,1,3,16,2,5,3,16,8,2,1,2,3,2,7,6,6,11,7,1,0,2,24,4,1,2,6,10,3,11,4,18,43,1,1,44,3,2,11,13,16,10,18,7,3,0,2,4,14,8,3,7,29,2,1
"1005_0","SR0095","SR0095_2016_9_1",1005,0,1,1,9,9,23,10,3,2,3,5,17,3,8,4,21,11,3,2,3,3,1,6,6,12,11,9,2,0,2,37,2,1,5,8,14,5,13,5,21,53,0,0,53,3,2,12,19,17,12,19,9,3,0,1,4,16,9,7,5,31,3,0
"1006_0","SR0091","SR0091_2016_9_12",1006,0,1,3,12,14,13,4,3,2,3,5,12,0,6,4,18,7,2,0,0,4,0,6,6,12,7,8,0,0,3,27,2,0,1,7,14,6,6,9,13,44,2,1,46,8,3,9,19,8,13,17,4,6,0,1,4,8,8,7,5,21,7,1
"1007_0","SR0092","SR0092_2016_9_13",1007,0,1,7,10,14,11,4,4,5,5,2,8,2,7,11,12,6,4,1,2,2,0,4,3,14,8,6,1,0,8,28,0,0,3,6,13,9,7,10,10,49,2,0,52,10,4,14,15,9,18,22,5,0,0,2,10,9,4,3,10,17,9,1
"1007_1","SR0092","SR0092_2016_9_13_Rep",1007,1,1,10,8,12,9,3,5,4,3,4,5,2,6,10,10,4,3,1,2,3,1,3,4,15,4,5,0,0,9,21,0,0,2,8,10,7,4,9,8,41,2,0,44,11,4,11,13,5,15,19,3,2,0,2,7,5,3,3,6,16,9,2
"1008_0","SR0084","SR0084_2016_9_14",1008,0,1,4,18,20,15,8,1,2,5,7,18,2,8,6,21,11,6,1,4,5,1,6,3,13,11,11,3,1,4,41,4,0,6,12,17,10,12,16,17,66,4,3,68,17,2,14,21,17,20,27,7,5,0,3,6,17,7,5,8,33,14,3
"1009_0","SR0085","SR0085_2016_9_14",1009,0,1,11,15,17,21,9,2,4,5,8,20,2,11,10,23,14,6,1,3,6,3,3,6,15,11,13,4,1,7,47,3,1,5,15,22,11,15,19,19,76,5,3,78,15,4,15,27,20,19,31,10,5,0,3,8,19,11,5,8,42,10,5
"1010_0","WB0461","WB0461_2016_9_15",1010,0,1,2,10,10,13,5,1,0,1,4,11,2,8,2,15,10,2,1,2,5,1,5,2,6,7,10,1,0,1,30,0,0,4,9,10,3,7,9,12,41,2,2,41,7,2,8,17,9,7,16,8,4,0,1,4,9,7,4,5,22,5,2
"1011_0","WB0464","WB0464_2016_10_3",1011,0,1,3,7,15,22,7,0,1,2,7,19,3,5,4,18,9,4,1,3,2,1,7,1,7,13,8,2,1,4,30,6,1,3,11,15,4,17,6,22,51,8,2,57,15,1,12,19,12,14,27,7,4,0,2,7,11,9,8,8,26,7,8
"1012_0","MRW0208","MRW0208_2016_10_12",1012,0,1,4,9,17,20,4,0,1,4,7,19,2,8,10,21,8,5,1,4,4,0,8,3,9,15,7,4,1,3,37,6,1,5,11,16,5,11,11,19,58,2,2,59,13,1,13,18,16,15,26,7,3,0,3,7,15,9,4,9,32,11,2
"1013_0","MRW0207","MRW0207_2016_10_13",1013,0,1,4,9,14,13,2,1,2,2,8,14,1,6,6,17,8,2,0,1,4,0,8,3,10,10,7,1,0,1,32,4,0,1,8,14,7,6,12,12,45,1,1,45,14,1,11,13,7,13,21,7,3,0,1,4,6,7,3,7,17,13,1
"1014_0","WB0473","WB0473_2016_7_13",1014,0,1,3,8,13,23,7,1,0,2,10,20,2,7,5,22,10,4,1,3,3,1,10,2,10,14,12,2,1,2,39,7,1,6,13,15,5,14,7,18,55,2,1,56,9,2,10,22,14,11,25,13,3,0,1,3,10,11,3,6,35,6,2
"1015_0","WB0475","WB0475_2016_7_14",1015,0,1,9,10,18,15,7,2,5,2,8,19,2,8,6,22,9,6,1,4,3,0,9,3,14,14,10,2,1,6,39,6,0,5,14,15,8,14,11,19,60,2,4,58,11,4,13,23,11,16,23,9,6,1,2,7,11,6,6,9,31,8,2
"1016_0","WB0481","WB0481_2016_7_25",1016,0,1,3,10,13,19,10,1,1,3,8,19,2,7,1,21,13,6,1,5,4,2,7,3,7,13,10,4,1,2,35,7,2,6,15,12,6,14,10,21,53,3,1,55,12,2,9,25,9,13,25,10,5,0,2,4,8,13,4,6,30,10,2
"1017_0","WB0470","WB0470_2016_7_26",1017,0,1,6,5,12,15,5,0,4,3,2,15,3,4,4,11,8,3,2,3,3,0,8,1,5,9,7,2,0,4,23,6,1,3,10,12,3,12,6,17,44,0,2,42,3,2,9,20,10,10,18,10,2,0,1,5,8,8,4,6,26,3,0
"1018_0","WB0479","WB0479_2016_7_27",1018,0,1,6,3,11,11,4,0,3,0,7,12,1,4,3,13,4,3,1,2,1,1,6,2,6,9,3,1,1,3,23,4,0,2,4,9,2,8,5,14,38,1,2,38,10,1,10,11,8,14,14,4,2,0,0,6,8,2,5,7,16,9,1
