COMID,NWs,SiteClass,BFICat
-203746,0.431035995,HiN,67.44939092
-203745,0.431035995,HiN,67.06726027
-203744,0.434879873,HiN,67
-203743,0.439178891,HiN,67.36481787
-203742,0.402148033,HiN,66.96452328
-203741,0.431035995,HiN,67.25141777
-203740,0.431035995,HiN,67.05676285
-203739,0.431035995,HiN,67
-203738,0.431035995,HiN,67.3610675
-203737,0.431035995,HiN,67
-203736,0.431035995,HiN,67.07067669
-203735,0.431035995,HiN,67.17570917
-70109,0.024579036,LoN,25.31273498
-70108,0.025,LoN,27
-70107,0.025,LoN,26.34447539
-70106,0.025,LoN,26.76497696
-70105,0.025,LoN,26.32757115
-70104,0.025,LoN,27
-70103,0.025,LoN,26.09015152
-70102,0.025,LoN,26.79681404
-70101,0.025,LoN,26.74256837
-70071,0.025,LoN,24
-70070,0.025,LoN,24
-70069,0.025,LoN,24
-70068,0.025,LoN,24
-70067,0.025,LoN,24
-70066,0.025,LoN,24
-70065,0.025,LoN,24
-70064,0.025,LoN,24.00035369
-70063,0.025,LoN,24
-70062,0.025,LoN,24
-70061,0.025,LoN,24
-52482,0.025009347,LoN,26
-52481,0.02489732,LoN,26.00034408
-52480,0.026442179,LoN,26.70149254
-52479,0.079092794,LoN,27.98614244
-52478,0.029978053,LoN,26.41098818
-52477,0.03489993,LoN,26.38394161
-52476,0.036537912,LoN,26.21215352
-52475,0.131312622,HiN,26
-52474,0.03208973,LoN,26.75048058
-52473,0.042228378,LoN,26.9259093
-52472,0.025,LoN,26.00385914
-52471,0.025,LoN,27
-52470,0.025,LoN,26.4183953
-52467,0.024565815,LoN,25.34802774
-52466,0.025,LoN,26.89165545
-52465,0.035018844,LoN,27.08282648
-52464,0.039194857,LoN,26.62726358
-52463,0.064250552,LoN,27.75695866
3396672,0.343851909,HiN,67.36969155
3396688,0.316429452,HiN,68
3396700,0.149838001,HiN,69
3396706,0.149838001,HiN,68.45366103
3396708,0.31170217,HiN,68
3396712,0.41620288,HiN,64.28320239
3396714,0.280188659,HiN,68
3396716,0.254444059,HiN,68
3396718,0.149838001,HiN,66.49787234
3396720,0.367107129,HiN,68
3396722,0.242936664,HiN,68
3396724,0.204573783,HiN,68
3396726,0.362534887,HiN,68
3396728,0.267090412,HiN,63.85259373
3396730,0.35985937,HiN,68
