"SampID","pt_T_WDEQ_12","nt_Diatas_TN_2","BC_12.pa","WA_Salinity_USGS","pt_O_WDEQ_4","pt_H_WDEQ_34","pt_T_WDEQ_56"
814,7.692307692,9,0.656765677,1.135313531,3.846153846,3.846153846,26.92307692
178,3.846153846,4,0.648264984,1.969502408,11.53846154,11.53846154,46.15384615
179,11.32075472,9,0.207317073,1.934859155,9.433962264,13.20754717,37.73584906
397,18.46153846,10,0.283333333,1.465661642,6.153846154,7.692307692,21.53846154
392,5.263157895,5,0.69,1.844856661,13.15789474,15.78947368,36.84210526
391,6.666666667,4,0.448333333,1.899159664,6.666666667,3.333333333,36.66666667
410,11.11111111,7,0.201666667,1.602348993,2.777777778,11.11111111,33.33333333
409,15.2173913,8,0.241666667,1.482935154,4.347826087,4.347826087,19.56521739
433,4.918032787,5,0.338333333,1.693979933,8.196721311,14.75409836,39.3442623
458,0,5,0.688333333,0.66,0,8.333333333,33.33333333
456,9.090909091,8,0.611666667,0.966611018,3.03030303,6.060606061,24.24242424
455,6.12244898,5,0.285,1.693333333,8.163265306,12.24489796,36.73469388
457,6.451612903,4,0.51,1.073333333,9.677419355,16.12903226,48.38709677
465,11.11111111,7,0.198333333,1.240336134,0,5.555555556,27.77777778
333,4,7,0.561666667,1.949832776,12,0,32
646,22,9,0.358974359,1.756410256,8,10,20
193,0,4,0.058912387,1.913897281,0,18.18181818,63.63636364
334,11.76470588,6,0.951666667,0.626666667,5.882352941,17.64705882,23.52941176
343,6.25,8,0.476666667,1.248333333,6.25,12.5,33.33333333
192,3.125,7,0.348242812,1.620192308,3.125,15.625,37.5
243,11.11111111,7,0.248344371,1.80730897,2.222222222,6.666666667,28.88888889
816,12.24489796,11,0.635179153,1.718543046,6.12244898,4.081632653,22.44897959
642,23.72881356,9,0.322683706,1.516129032,3.389830508,5.084745763,25.42372881
502,27.77777778,5,0.061666667,1.921666667,5.555555556,11.11111111,22.22222222
503,15.2173913,6,0.116666667,1.7909699,8.695652174,8.695652174,39.13043478
504,0,7,0.441666667,1.629881154,7.692307692,10.25641026,38.46153846
242,20,10,0.329470199,1.867449664,4.615384615,7.692307692,26.15384615
246,2.222222222,5,0.297520661,1.59338843,8.888888889,20,44.44444444
244,5.128205128,5,0.061359867,1.927031509,7.692307692,10.25641026,38.46153846
247,11.42857143,7,0.052718287,2.031301483,2.857142857,14.28571429,37.14285714
250,5.128205128,2,0.014778325,2.338259442,17.94871795,38.46153846,61.53846154
245,4.87804878,8,0.47768595,1.408264463,4.87804878,17.07317073,43.90243902
248,0,5,0.524671053,1.792763158,15.78947368,36.84210526,57.89473684
