SampID,Station,CollDate,BFIWs,Elevation,KffactWs,PrecipWs,RckDepWs,SWs,TmaxWs,TmeanWs,Latitude,Longitude
814,MRC0105,8/6/2014,66.26969618,8500,0.287906968,774.6975484,72.23141657,0.103796781,6.478653965,0.787337595,44.741111,-107.593194
178,MRC0114,8/29/2007,69.60934343,7605,0.25,633.6463307,68.3,0.131452561,8.381085678,2.505610088,44.854944,-107.460383
179,MRC0115,8/30/2007,62.06502525,6858,0.186330938,735.7788595,104.7101542,0.013417746,6.553326945,0.596053623,44.320067,-106.89985
397,MRC0117,8/12/2010,56.15250336,9274,0.14569154,770.2303647,83.23991751,0.033571789,5.041660048,-0.425590544,44.515029,-107.387411
392,MRC0118,8/4/2010,71.53195522,7590,0.29,712.3545118,71.70786333,0.166782814,6.993421247,1.413541223,44.875576,-107.782492
391,MRC0119,8/3/2010,72.86516027,8670,0.257643115,690.7636066,69.14454866,0.112387614,7.060819762,1.480673263,44.91212,-107.767861
410,MRC0120,9/22/2010,58.07031441,6300,0.211076946,714.1474908,91.14325637,0.052366762,6.107287169,0.602285285,44.585827,-107.607724
409,MRC0121,9/21/2010,58.26427567,7824,0.17746032,741.4892413,100.1385121,0.035937309,6.568590458,0.731370972,44.630258,-107.280309
433,MRC0122,7/26/2011,68.67207989,7780,0.25,512.7082606,68.3,0.103294697,8.044449236,2.858623941,43.8532947,-107.0635492
458,MRC0123,9/7/2011,71.42958477,5240,0.268944123,671.5191862,69.88391504,0.146002082,8.053133351,2.343695278,44.944785,-107.67928
456,MRC0124,8/30/2011,68.02560612,8100,0.279414453,817.0640339,70.88175431,0.099548101,6.03991634,0.481589763,44.764373,-107.603417
455,MRC0125,8/29/2011,66.33772142,8140,0.276295894,709.0510544,75.69830475,0.147051926,7.138173147,1.197898236,44.762733,-107.5441
457,MRC0126,9/6/2011,64.80014652,24.74,0.245261405,495.6473311,106.652999,0.139718303,9.182418148,3.383148933,44.071052,-106.822257
465,MRC0127,9/27/2011,62.65080477,5360,0.20152435,644.6002374,99.7806637,0.025279881,7.713750867,1.768583951,44.32986,-106.794443
333,MRC11,9/1/2009,68.22332783,8560,0.278862097,855.6745103,70.88678778,0.102982767,5.401786317,0.052397061,44.7460083,-107.6948083
646,MRC16,10/2/2013,59.80352053,8780,0.113535715,852.6567848,88.26761803,0.012003969,4.383567249,-1.36999787,44.2386111,-107.2244444
193,MRC18,10/17/2007,71.54604157,4520,0.268052182,664.4935357,69.81364707,0.145323804,8.228576125,2.499748544,44.9868833,-107.6386806
334,MRC22,9/3/2009,68.75617244,8210,0.29,827.4203066,71.75,0.09579163,6.431992634,0.694065492,44.7555028,-107.6330944
343,MRC24,10/15/2009,65.70630017,4120,0.251454948,701.1051135,82.27952561,0.088220298,7.408912695,1.58031856,44.846625,-107.3306833
192,MRC24,10/10/2007,65.70630017,4120,0.251454948,701.1051135,82.27952561,0.088220298,7.408912695,1.58031856,44.846625,-107.3306833
243,MRC26,9/11/2008,64.21050943,7720,0.184463864,667.8089308,100.9001412,0.011350489,6.821402626,1.138068462,44.168775,-106.9152167
816,MRC38,10/8/2014,58.50340033,4420,0.186503355,683.4466562,89.84773027,0.096531793,8.037550483,2.011785091,44.6266556,-107.0303611
642,MRC48,8/15/2013,63.52263198,8000,0.21,700.0028444,103.98,0.038589001,7.784687821,2.030321554,44.7578722,-107.4363306
502,MRC5,9/19/2012,62.80172523,7878,0.187164592,762.3535675,105.9206852,0.013184838,6.203440176,0.33808751,44.274189,-106.968398
503,MRC54,10/3/2012,63.32851324,5346,0.248034806,464.1423342,100.7178267,0.100554899,10.85746144,4.738780609,44.364049,-106.814027
504,MRC6,10/9/2012,66.22834847,5144,0.261991803,535.9439607,75.71729132,0.224451372,9.117264747,3.818819688,43.601585,-106.908389
242,MRC63,9/10/2008,64.05697247,8220,0.156260373,711.5172408,95.34582058,0.010764516,6.380128813,0.69955892,44.156192,-106.972275
246,MRCI27,9/17/2008,63.49605406,5330,0.230714462,453.3840113,96.77974351,0.247853246,10.25904728,4.040164774,44.1980917,-106.7761778
244,MRCI28,9/15/2008,64.89085218,7760,0.284656993,472.1551354,108.0396574,0.587160581,9.928050892,3.898098565,44.1587,-106.9096472
247,MRCI29,9/17/2008,64.89085218,5440,0.284656993,472.1551354,108.0396574,0.587160581,9.928050892,3.898098565,44.1681083,-106.8058333
250,MRCI30,9/23/2008,64.7496672,4820,0.29561946,392.0988722,107.1085297,0.945082341,12.61901576,5.891275946,44.1323722,-106.7105806
245,MRCI31,9/16/2008,64.21484874,5260,0.217480158,527.3875531,101.2860147,0.164967753,8.973811401,3.001606629,44.1967306,-106.7689944
248,MRCI32,9/18/2008,64.02160863,4910,0.233715777,488.2595988,103.3640663,0.335731635,10.00920632,3.837160766,44.1715917,-106.6984222
501,MRCI35,9/4/2012,65.11409602,8870,0.207291756,686.4673752,102.5359031,0.015794825,6.276650705,0.708671485,44.106607,-107.090382
185,MRE0023,9/18/2007,74.09782288,4038,0.300944264,575.9306259,122.3153555,3.114201912,13.4215766,6.658287908,44.5608,-104.257
189,MRE0024,9/25/2007,80.4538,5641,0.348212873,639.1781555,131.8201806,0.761215694,10.9873044,4.007974141,44.211,-104.156
254,MRE0025,10/6/2008,81.23744758,4370,0.319189538,536.8600456,114.3542548,2.812221574,13.00402082,5.684077695,44.2592981,-104.5236872
342,MRE0026,9/22/2009,59.52643453,3550,0.294761073,403.3156822,105.2008912,0.973182064,14.34286312,7.029021038,44.76413,-104.502266
446,MRE0027,6/22/2011,80.08583506,4200,0.270142853,424.6901474,101.4020259,0.692479261,14.44428879,7.012305511,44.296042,-104.652169
448,MRE0028,7/13/2011,72.79236311,4270,0.292939875,522.3746729,102.4984481,1.279157541,13.58781843,6.376850413,44.482938,-104.628644
463,MRE0029,9/21/2011,70.80813138,4420,0.299745099,586.9566321,134.230697,2.098601419,12.9598157,6.382006205,44.589959,-104.521467
451,MRE0030,8/16/2011,67.89755746,3891,0.297835739,600.1407863,126.3778201,1.349840917,13.28657071,6.43903828,44.716973,-104.442311
452,MRE0031,8/16/2011,67.89755746,3895,0.297835739,600.1407863,126.3778201,1.349840917,13.28657071,6.43903828,44.714865,-104.442435
462,MRE0032,9/20/2011,80.4538,5685,0.348212873,639.1781555,131.8201806,0.761215694,10.9873044,4.007974141,44.198533,-104.148098
461,MRE0033,9/19/2011,79.16560116,3760,0.320048396,590.7066442,125.97804,1.415340131,12.47916933,5.496700691,44.493206,-104.109159
447,MRE0034,7/12/2011,64.79817564,3870,0.295345668,560.9595217,111.6089918,0.402126014,14.10703568,6.754935939,44.670495,-104.247717
485,MRE0035,10/4/2012,75,5660,0.3,678.2600758,135.46,0.077719205,11.16830971,5.692914823,44.5053028,-104.4161494
184,MRE1,9/17/2007,75,5720,0.3,695.601867,135.46,0.060819161,11.21396071,5.769583741,44.505,-104.4324111
483,MRE1,10/3/2012,75,5720,0.3,695.601867,135.46,0.060819161,11.21396071,5.769583741,44.505,-104.4324111
